2,82,0,38,0,102
21,83,1,38,0,102
41,83,1,39,0,102
61,82,0,38,0,102
81,82,0,38,0,102
101,83,0,38,0,103
122,83,0,38,0,102
144,84,0,38,0,102
165,83,1,38,0,103
186,83,0,38,0,103
207,83,0,39,0,103
229,83,0,38,0,103
249,82,0,39,0,103
271,82,0,38,0,103
292,82,0,38,0,103
313,83,0,39,0,103
334,82,0,38,0,103
356,82,0,38,0,103
377,82,1,39,0,103
398,82,0,38,0,103
419,82,1,39,0,103
441,82,0,38,0,102
461,82,0,38,0,103
483,82,53,38,0,103
528,94,94,38,0,103
549,94,94,42,0,103
572,83,95,48,0,103
595,84,97,49,0,80
616,83,97,50,0,90
636,86,95,50,0,89
658,125,97,54,0,2
680,129,90,54,0,2
700,131,89,57,0,3
721,134,80,58,0,3
743,133,78,56,0,3
763,135,64,57,0,0
785,135,74,60,0,0
806,136,28,66,0,1
827,137,41,72,0,1
848,138,41,75,0,1
870,146,48,77,16,1
892,149,48,83,17,1
914,141,43,85,16,103
939,145,39,92,17,103
963,145,48,98,17,106
988,147,49,106,17,105
1013,150,48,114,9,105
1039,148,51,112,11,106
1066,145,39,111,11,105
1092,143,21,109,8,107
1118,140,21,100,10,105
1144,138,18,94,15,105
1170,98,19,90,16,105
1195,112,12,81,16,105
1220,96,10,74,16,104
1244,105,10,70,0,104
1290,109,10,50,0,0
1312,108,12,48,0,0
1334,108,12,49,0,1
1356,108,8,58,0,1
1378,106,1,65,0,0
1398,105,1,68,0,2
1420,113,2,73,0,0
1441,130,10,74,0,1
1464,131,1,83,0,1
1484,135,18,89,0,2
1507,141,80,93,0,1
1529,142,96,97,0,3
1551,147,46,107,6,3
1574,152,62,123,19,4
1599,157,22,127,19,83
1625,152,20,116,6,100
1650,150,20,118,2,88
1675,148,9,113,1,4
1697,147,1,101,2,4
1719,147,1,97,2,4
1740,147,2,91,2,3
1762,138,66,82,2,3
1783,133,0,74,0,2
1805,94,0,65,7,3
1825,90,0,61,0,3
1845,77,0,48,0,2
1865,87,0,38,0,102
1888,79,0,40,0,101
1910,75,82,52,0,102
1933,79,1,56,0,102
1955,79,1,62,0,102
1978,80,80,65,0,102
2001,95,85,68,0,102
2025,110,76,76,0,102
2049,143,9,81,0,102
2072,143,10,87,0,102
2097,146,33,99,18,96
2121,154,93,129,18,3
2146,153,78,126,8,3
2169,151,98,118,8,4
2192,149,90,115,17,3
2217,147,14,105,15,4
2241,145,11,100,11,2
2266,143,12,91,16,3
2289,143,11,85,16,3
2313,136,10,78,16,2
2335,92,2,69,16,3
2357,91,68,66,0,2
2378,93,74,61,0,73
2400,93,76,50,0,100
2423,90,84,46,0,100
2447,95,87,55,0,101
2470,96,83,61,0,101
2494,98,89,61,0,102
2518,101,70,67,0,102
2541,144,61,76,0,102
2566,146,22,82,0,104
2590,147,22,90,0,99
2614,151,46,100,0,104
2639,151,115,119,10,100
2667,155,109,126,16,103
2695,155,75,114,18,100
2721,154,97,116,18,103
2748,151,23,106,17,99
2774,150,22,97,17,62
2798,149,15,92,16,47
2823,107,19,86,16,67
2847,102,7,74,0,90
2869,94,0,70,0,85
2890,93,0,66,0,90
2912,96,0,61,0,96
2932,90,45,61,0,102
2956,92,76,63,0,103
2979,93,72,65,0,103
3003,95,78,66,0,103
3027,98,52,69,0,103
3049,100,55,74,0,104
3074,142,24,87,0,104
3098,151,23,96,0,104
3123,155,59,106,0,104
3148,157,105,119,15,96
3175,163,112,135,16,95
3202,161,95,126,16,100
3228,158,87,117,16,101
3255,152,75,110,15,97
3280,159,23,102,13,70
3306,168,44,97,13,79
3331,135,17,90,16,75
3355,106,54,77,16,61
3379,103,65,71,15,3
3402,101,8,66,16,2
3425,100,0,65,0,2
3446,94,53,60,0,3
3467,95,74,60,0,3
3488,97,75,64,0,2
3510,99,67,65,0,2
3530,127,18,66,0,92
3554,133,14,73,0,94
3577,135,22,80,3,98
3601,135,23,89,5,98
3625,170,23,96,10,99
3648,170,23,111,13,95
3674,172,131,135,19,3
3699,176,119,131,19,2
3725,178,105,122,14,3
3750,177,99,117,15,3
3775,170,74,111,14,4
3800,170,25,99,7,3
3822,176,23,95,16,3
3845,176,64,88,15,3
3868,141,72,79,15,2
3892,139,29,68,15,3
3915,137,22,66,10,2
3939,133,56,61,0,3
3960,128,66,53,0,2
3983,131,83,53,0,3
4005,131,86,56,0,3
4028,131,82,57,0,3
4049,135,59,62,0,3
4072,137,44,64,0,2
4095,140,25,75,0,2
4117,139,26,80,0,3
4139,140,43,88,11,3
4162,176,94,92,10,3
4186,179,113,104,16,3
4211,174,130,124,16,102
4239,175,92,126,15,106
4266,175,99,112,16,106
4292,174,92,107,17,105
4319,177,60,97,16,105
4344,172,12,91,14,104
4370,176,59,89,14,103
4396,137,59,81,14,103
4421,138,78,73,11,103
4447,136,85,71,0,102
4471,110,84,63,0,100
4495,109,72,57,0,100
4520,110,63,59,0,94
4543,111,63,60,0,95
4567,139,80,64,0,96
4590,138,67,68,0,95
4613,138,27,71,0,100
4637,140,23,82,0,100
4662,141,23,89,5,101
4686,177,23,97,8,99
4710,179,23,112,11,101
4737,184,24,134,17,102
4763,177,61,138,16,102
4790,175,22,129,14,103
4816,182,22,125,15,102
4843,182,10,121,14,101
4870,179,10,108,13,92
4895,178,11,101,8,94
4920,142,10,92,12,97
4944,137,9,86,12,96
4967,130,8,77,0,94
4990,131,3,71,0,96
5012,127,0,70,0,99
5034,127,0,64,0,100
5057,128,1,60,0,100
5081,128,3,64,0,100
5104,130,9,66,0,99
5126,138,9,70,0,100
5149,142,22,78,0,99
5173,144,22,84,0,101
5197,178,22,91,0,101
5222,180,22,102,0,101
5248,183,23,121,0,99
5272,185,41,141,18,104
5299,186,24,142,14,103
5325,184,24,135,13,101
5352,177,24,127,12,100
5379,177,24,121,15,97
5404,173,10,113,10,100
5431,172,14,101,0,100
5456,169,15,95,0,100
5480,138,9,89,0,100
5504,135,9,77,0,96
5526,134,1,72,0,98
5549,132,0,67,0,95
5570,131,1,66,0,97
5593,132,0,67,0,99
5615,135,1,68,0,101
5638,134,16,70,0,95
5661,138,19,74,0,2
5684,137,11,83,0,1
5706,141,15,90,0,2
5728,140,18,93,0,2
5750,175,22,99,0,2
5773,179,22,109,0,98
5797,177,23,121,0,94
5822,179,127,138,0,103
5849,182,97,137,8,100
5874,178,99,128,0,102
5900,177,88,127,0,100
5925,175,10,121,0,101
5950,170,10,109,0,100
5976,169,11,101,0,100
6001,135,11,95,0,101
6026,134,94,83,0,96
6049,132,86,76,0,96
6073,130,92,73,0,95
6096,135,76,71,0,92
6119,132,74,67,0,99
6143,134,79,68,0,102
6167,136,74,70,0,99
6191,136,52,72,0,101
6215,137,91,81,0,101
6239,139,73,88,0,99
6262,175,46,92,0,97
6286,176,73,104,0,99
6310,173,95,114,4,102
6336,175,25,131,15,94
6362,184,108,142,17,96
6388,183,99,138,17,99
6414,179,101,127,17,100
6442,178,101,121,17,99
6468,175,68,112,17,88
6494,174,77,103,14,94
6519,173,43,96,7,97
6542,172,82,90,0,96
6565,139,84,82,9,96
6589,133,49,77,0,96
6613,132,67,72,0,95
6636,133,95,69,0,99
6659,134,96,70,0,98
6682,138,97,71,0,97
6706,139,58,72,0,98
6729,141,8,78,0,99
6751,143,31,87,0,99
6774,172,59,91,0,100
6799,175,64,94,0,98
6822,179,73,106,0,99
6847,180,81,115,0,101
6873,181,108,127,0,101
6899,184,113,137,11,100
6927,181,72,126,2,101
6953,180,74,124,8,100
6978,177,48,117,1,100
7004,177,53,106,0,101
7029,178,78,98,0,101
7053,143,52,90,0,99
7076,142,7,81,0,94
7099,136,4,75,0,94
7121,137,6,72,0,94
7143,136,6,67,0,97
7166,136,0,68,0,99
7188,137,10,67,0,100
7213,139,11,69,0,98
7235,141,2,74,0,98
7258,142,8,78,0,98
7280,142,3,87,0,100
7303,146,14,94,0,101
7327,179,39,103,0,101
7353,182,97,115,0,102
7379,182,97,130,0,101
7404,185,112,137,0,101
7431,183,52,129,0,99
7455,181,47,124,0,100
7481,175,23,117,0,101
7507,178,22,109,0,98
7531,177,20,100,0,100
7557,172,3,92,0,99
7578,171,76,83,0,98
7602,142,74,77,0,93
7625,139,76,74,0,96
7649,140,86,70,0,98
7671,138,96,70,0,100
7696,140,83,70,0,100
7721,141,89,71,0,100
7745,143,91,76,0,101
7770,145,91,86,0,100
7794,147,95,90,0,100
7819,150,101,98,0,100
7844,182,97,111,0,99
7868,184,137,122,0,101
7895,186,147,140,7,99
7920,186,133,136,0,101
7947,182,145,127,0,102
7973,181,126,126,0,102
8000,179,82,119,0,101
8026,178,85,104,0,100
8051,145,74,97,0,98
8075,140,74,86,0,99
8098,139,76,77,0,98
8122,139,66,71,0,96
8144,138,70,68,0,95
8168,137,82,66,0,97
8192,137,107,64,0,97
8216,138,100,65,0,98
8241,140,96,67,0,96
8263,142,82,71,0,98
8287,143,77,79,0,97
8310,147,73,90,0,91
8334,148,73,101,0,98
8358,181,62,110,0,97
8383,184,46,123,0,100
8409,186,111,133,3,103
8435,182,122,140,6,103
8462,182,44,129,5,104
8486,182,45,125,0,103
8512,180,43,121,0,103
8538,179,42,109,0,102
8563,178,48,101,0,101
8589,173,51,89,0,100
8613,170,44,79,0,99
8637,141,37,73,0,99
8661,139,40,67,0,99
8683,138,37,66,0,98
8707,138,35,66,0,99
8730,139,67,68,0,100
8755,141,43,69,0,100
8779,143,46,76,0,100
8803,145,58,81,0,93
8826,146,66,98,0,100
8851,178,66,107,0,97
8876,180,68,117,0,97
8900,183,76,129,0,102
8926,183,107,144,0,101
8952,187,39,140,1,102
8978,183,23,129,0,102
9004,184,21,126,5,103
9029,183,21,114,5,100
9054,182,24,106,0,97
9078,181,23,93,0,100
9103,146,22,83,0,95
9126,140,22,78,0,99
9150,140,9,69,0,99
9172,139,8,66,0,93
9194,138,2,62,0,100
9218,138,9,62,0,2
9239,139,9,67,0,3
9260,141,9,68,0,3
9281,142,10,70,0,2
9304,144,22,76,0,3
9325,145,23,83,0,3
9348,148,22,96,0,96
9371,180,23,106,0,95
9396,181,40,111,0,92
9420,184,42,123,3,100
9446,181,68,138,6,102
9472,183,71,136,7,105
9497,183,39,131,0,104
9522,184,74,127,0,104
9547,182,21,115,0,100
9573,182,52,106,0,95
9598,178,68,98,0,93
9621,144,62,86,0,94
9645,143,49,77,0,91
9667,141,7,69,0,90
9690,139,9,65,0,94
9712,139,15,59,0,94
9736,139,42,64,0,95
9759,139,36,67,0,95
9782,141,37,70,0,3
9804,143,36,76,0,2
9827,144,39,83,0,3
9849,146,39,89,0,3
9871,146,50,97,0,3
9893,180,50,106,0,92
9918,181,52,114,0,95
9943,184,56,127,5,100
9968,186,23,137,9,101
9994,189,44,133,0,102
10019,189,45,124,0,102
