2,0,0,28,0,0
18,0,0,28,0,0
35,0,0,27,0,0
52,0,0,27,0,0
69,0,0,29,0,0
85,0,0,29,0,0
103,0,0,30,0,0
120,0,0,30,0,0
139,0,0,30,0,0
156,0,0,23,0,0
174,0,0,23,0,0
192,0,0,24,0,0
210,0,0,23,0,0
228,0,0,23,0,0
246,0,0,25,0,0
263,0,0,25,0,0
282,0,0,25,0,0
299,0,0,25,0,0
318,0,0,25,0,0
354,0,0,25,0,0
371,0,0,25,0,0
389,0,0,25,0,0
407,0,0,25,0,0
424,0,0,25,0,0
443,0,0,25,0,0
460,0,0,25,0,0
479,0,0,32,0,0
514,0,0,32,0,0
532,3,0,32,0,0
550,3,0,33,0,0
568,0,0,32,0,0
586,0,0,32,0,0
603,0,0,32,0,0
622,0,0,33,0,0
639,0,0,32,0,0
675,3,0,32,0,0
694,4,0,33,0,0
711,3,0,33,0,0
729,3,0,33,0,0
747,3,0,33,0,0
765,3,0,33,0,0
783,86,0,33,0,0
802,86,0,33,0,0
821,86,0,33,0,0
840,86,0,32,0,0
858,86,0,33,0,0
878,85,0,32,0,0
897,0,0,33,0,0
915,0,0,33,0,0
933,0,0,34,0,0
968,0,0,34,0,0
986,0,0,34,0,0
1004,0,0,34,0,0
1023,0,0,35,0,0
1043,0,0,34,0,0
1061,0,0,36,0,0
1081,0,0,36,0,0
1099,0,0,36,0,0
1119,0,0,36,0,0
1137,0,0,37,0,0
1156,0,0,38,0,0
1175,87,0,35,0,0
1195,86,0,34,0,0
1216,87,0,34,0,0
1235,86,0,36,0,0
1256,86,0,35,0,0
1275,86,0,35,0,0
1296,88,0,35,0,0
1316,88,0,35,0,0
1336,88,0,35,0,0
1356,86,0,35,0,0
1376,86,0,35,0,0
1396,87,0,29,0,0
1417,87,0,34,0,0
1436,90,0,28,0,0
1456,89,0,29,0,0
1476,94,0,37,0,0
1496,98,0,38,51,0
1518,128,0,40,39,0
1540,128,0,43,17,0
1562,137,0,59,13,0
1584,142,0,52,10,0
1607,138,2,54,59,0
1628,138,1,52,17,0
1651,130,1,48,19,0
1674,130,0,41,17,0
1695,129,0,35,3,0
1717,125,0,36,0,0
1738,126,0,41,5,0
1759,118,0,39,9,0
1780,94,0,35,3,0
1801,87,0,34,9,0
1820,117,0,32,0,0
1841,126,0,32,0,0
1863,128,0,32,4,0
1883,122,0,30,8,0
1905,124,0,28,7,0
1926,132,0,28,7,0
1947,132,0,30,5,0
1968,131,0,30,7,0
1989,131,0,31,7,0
2010,131,0,33,9,0
2032,124,0,37,9,0
2052,121,0,39,0,0
2074,135,0,45,39,0
2096,143,0,50,4,0
2117,144,0,56,6,0
2138,138,0,52,5,0
2160,137,0,47,2,0
2180,137,0,48,12,0
2203,136,0,44,0,0
2224,135,0,32,2,0
2245,108,0,31,5,0
2266,108,0,30,19,0
2289,97,0,31,9,0
2308,94,0,29,10,0
2330,92,0,26,8,0
2350,91,0,25,9,0
2370,92,0,25,10,0
2391,91,0,25,10,0
2413,91,0,26,9,0
2432,93,0,25,11,0
2454,94,0,26,3,0
2473,94,0,25,2,0
2494,91,0,26,3,0
2514,95,0,28,3,0
2555,121,0,35,10,0
2578,133,0,41,0,0
2598,132,0,47,16,0
2621,141,0,56,25,0
2643,141,0,50,11,0
2665,136,1,46,10,0
2687,135,0,44,2,0
2709,134,0,44,0,0
2729,136,0,43,15,0
2752,118,0,34,27,0
2774,117,0,33,30,0
2797,121,0,32,24,0
2818,102,0,32,8,0
2840,118,0,33,9,0
2861,114,0,32,10,0
2883,110,0,32,10,0
2905,95,0,32,9,0
2926,114,0,31,9,0
2946,113,0,29,8,0
2968,114,0,30,9,0
2989,114,0,31,2,0
3010,118,0,32,2,0
3031,127,0,31,2,0
3053,111,0,31,2,0
3073,118,0,32,3,0
3095,101,0,40,2,0
3115,121,0,51,9,0
3137,134,0,51,1,0
3158,135,0,55,0,0
3179,134,0,52,0,0
3200,133,0,50,6,0
3222,133,0,48,7,0
